pid,smiles,tens_mod_clean
P130127,*c6cccc(C(=O)Nc5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)cc5)c6,2.885
P432114,*C(=O)Nc%11cc(NC(=O)c8ccc7c(=O)n(c6ccc(c4sc(c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)c(c%17ccccc%17)c4c5ccccc5)cc6)c(=O)c7c8)ccc%11,2.87
P402354,*C(=O)Nc6cccc(NC(=O)c5ccc4[nH]c(c3cc(c2nc1cc(*)ccc1[nH]2)ccc3)nc4c5)c6,2.8
P432593,*C(=O)Nc%13ccc(Oc%12ccc(NC(=O)c%11ccc%10c(=O)n(c9ccc(Oc8ccc(C5(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)CC6CC5C7CCCC67)cc8)cc9)c(=O)c%10c%11)cc%12)cc%13,2.8
P402235,*NC(=O)c1cc(C(=O)Nc2ccc(C(C(F)(F)F)(C(F)(F)F)c3ccc(*)cc3)cc2)cc(NC(=O)CCCCCn5c(=O)c4ccccc4c5=O)c1,2.8
P430406,*n5c(=O)c4ccc(C(=O)Nc1cc(NC(=O)CCCCCCCCC(=O)Nc3cc(*)ccc3)ccc1)cc4c5=O,2.8
P373308,*c1cc(NC(=O)c2ccc(OCCOCCOc3ccc(C(=O)Nc5ccc4[nH]c(*)nc4c5)cc3)cc2)ccc1,2.8
P130129,*c6cccc(C(=O)N(C)c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)cc5)c6,2.725
P372297,*Oc5ccc(S(=O)(=O)c6ccc(Oc1cc(NC(=O)c2ccc(c3ccc(C(=O)Nc4cccc(*)c4)c(C)c3)cc2C)ccc1)cc6)cc5,2.7164
P430104,*c%10cccc(C(=O)Nc9ccc(Oc8ccc(C(C)(C)c7ccc(Oc6ccc(NC(=O)c5cccc(n4c(=O)c3ccc(c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)cc6)cc7)cc8)cc9)c%10,2.7164
P130128,*c6ccc(C(=O)Nc5cccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)cc6,2.7133333333333334
P430371,*c%10ccc(C(=O)Nc9ccc(Oc6ccc(NC(=O)c5ccc(n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)cc5)cc6)cc9)cc%10,2.7
P430376,*c%10cccc(C(=O)Nc9ccc(NC(=O)c5cccc(n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)cc9)c%10,2.7
P373018,*C(=O)c5cc(C(=O)Nc2ccc(Oc1ccc(N*)cc1)cc2)cc(NC(=O)CCCn4c(=O)c3ccccc3c4=O)c5,2.7
P402231,*NC(=O)c1cc(C(=O)Nc2ccc(Cc3ccc(*)cc3)cc2)cc(NC(=O)CCn5c(=O)c4ccccc4c5=O)c1,2.7
P373490,*c1oc(c2ccc(NC(=O)c3cc(C(=O)Nc4ccc(*)cc4)cc(NC(=O)c5ccc(OC(=O)C)cc5)c3)cc2)nn1,2.66
P372235,*OCCCCCCCOc1ccc(C(=O)Nc2ccc(c3ccc(NC(=O)c4ccc(*)cc4)c(Cl)c3)cc2Cl)cc1,2.65
P402392,*NC(=O)c4cc(NC(=O)C23CC1CC(CC(C1)C2)C3)cc(C(=O)Nc5ccc(NC(=O)c6ccc(*)cc6)cc5)c4,2.6
P373309,*c1cc(NC(=O)c2ccc(OCCOCCOCCOc3ccc(C(=O)Nc5ccc4[nH]c(*)nc4c5)cc3)cc2)ccc1,2.6
P373665,*Oc1c(C#N)c(Oc2ccc(C(=O)Nc3cc(NC(=O)c4ccc(*)cc4)ccc3)cc2)ccc1,2.6
P432802,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9cc(C(=O)Nc5ccc(c8ccc(NC(=O)c%10cc(*)ccc%10)cc8)cc5)ccc9)c(=O)c1c2)cc3c4=O,2.6
P373557,*Oc1ccc(Oc5ccc(Oc2ccc(NC(=O)c3cc(C(=O)Nc4ccc(*)cc4)cc(C(C)(C)C)c3)cc2)cc5)cc1,2.6
P402232,*NC(=O)c1cc(C(=O)Nc2ccc(Cc3ccc(*)cc3)cc2)cc(NC(=O)CCCn5c(=O)c4ccccc4c5=O)c1,2.6
P370545,*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(NC(=O)c5ccc(*)cc5)cc3)cc2)cc1c4ccccc4,2.6
P373304,*c1ccc(NC(=O)c2ccc(OCCOCCOCCOc3ccc(C(=O)Nc5ccc4[nH]c(*)nc4c5)cc3)cc2)cc1,2.6
P372234,*OCCCCCCOc1ccc(C(=O)Nc2ccc(c3ccc(NC(=O)c4ccc(*)cc4)c(Cl)c3)cc2Cl)cc1,2.56
P432905,*C(=O)Nc9ccc(Oc1ccccc1c2ccccc2Oc8ccc(NC(=O)c7ccc6c(=O)n(c5cccc(n4c(=O)c3ccc(*)cc3c4=O)c5)c(=O)c6c7)cc8)cc9,2.56
P100134,*NC(=O)c1ccc(C(=O)NCCCCCCCCCCCC*)cc1,2.5497
P100369,*Nc1ccc(NC(=O)CCCCCCCCC(=O)*)cc1,2.54
P430415,*C(=O)Nc8ccc(Oc7cccc(NC(=O)c6ccc5c(=O)n(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)c(=O)c5c6)c7)cc8,2.53
P432907,*C(=O)Nc9ccc(Oc1ccccc1c2ccccc2Oc8ccc(NC(=O)c7ccc6c(=O)n(c5c(C)ccc(n4c(=O)c3ccc(*)cc3c4=O)c5)c(=O)c6c7)cc8)cc9,2.53
P372296,*Oc5ccc(S(=O)(=O)c6ccc(Oc1ccc(NC(=O)c2ccc(c3ccc(C(=O)Nc4ccc(*)cc4)c(C)c3)cc2C)cc1)cc6)cc5,2.5105
P432925,*C(=O)Nc9ccc(Oc1ccccc1c2ccccc2Oc8ccc(NC(=O)c7ccc6c(=O)n(c5ccc(Oc%10ccc(S(=O)(=O)c%11ccc(Oc%12ccc(n4c(=O)c3ccc(*)cc3c4=O)cc%12)cc%11)cc%10)cc5)c(=O)c6c7)cc8)cc9,2.5
P432803,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9cc(C(=O)Nc5ccc(NC(=O)c8ccc(NC(=O)c%10cc(*)ccc%10)cc8)cc5)ccc9)c(=O)c1c2)cc3c4=O,2.5
P432112,*C(=O)Nc%11cc(S(=O)(=O)c%12cc(NC(=O)c8ccc7c(=O)n(c6ccc(c4sc(c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)c(c%17ccccc%17)c4c5ccccc5)cc6)c(=O)c7c8)ccc%12)ccc%11,2.49
P373491,*c1oc(c2ccc(Oc6ccc(NC(=O)c3cc(C(=O)Nc4ccc(Oc7ccc(*)cc7)cc4)cc(NC(=O)c5ccc(OC(=O)C)cc5)c3)cc6)cc2)nn1,2.49
P432913,*C(=O)Nc9ccc(Oc1ccccc1c2ccccc2Oc8ccc(NC(=O)c7ccc6c(=O)n(c5ccc(Oc%10cc(n4c(=O)c3ccc(*)cc3c4=O)ccc%10)cc5)c(=O)c6c7)cc8)cc9,2.48
P372239,*OCCCCCCCCCCCCOc1ccc(C(=O)Nc2ccc(c3ccc(NC(=O)c4ccc(*)cc4)c(Cl)c3)cc2Cl)cc1,2.46
P432923,*C(=O)Nc9ccc(Oc1ccccc1c2ccccc2Oc8ccc(NC(=O)c7ccc6c(=O)n(c5ccc(Oc%10ccc(C(C)(C)c%11ccc(Oc%12ccc(n4c(=O)c3ccc(*)cc3c4=O)cc%12)cc%11)cc%10)cc5)c(=O)c6c7)cc8)cc9,2.45
P372298,*Oc5ccc(C(C)(C)c6ccc(Oc1ccc(NC(=O)c2ccc(c3ccc(C(=O)Nc4ccc(*)cc4)c(C)c3)cc2C)cc1)cc6)cc5,2.432
